seq,timestamp_ms,red,ir,red_corrected,ir_corrected,time_sec,red_roll_mean,red_roll_std,ir_roll_mean,ir_roll_std,red_diff,ir_diff,red_diff2,ir_diff2,signal_energy
124,137559,40562,100888,-27.89448859365824,-12.257916544005388,2.466,-22.681945297900178,11.609572940946663,-34.64930465541606,27.70713291222471,-16.598402257119417,19.82590700970021,-28.625433051094515,22.949838770226243,928.3590119015307
125,137571,40574,100875,-15.743404811943654,-24.94337563109161,2.478,-22.463106217842128,11.635666935645519,-33.98214792133406,27.52702305398248,12.151083781714588,-12.68545908708622,28.749486038834007,-32.51136609678643,870.0267829464652
126,137593,40573,100872,-16.61651521586228,-27.430906900047443,2.5,-22.18531885941349,11.605493581085012,-33.17363693850926,27.102179451617296,-0.8731104039186253,-2.487531268955834,-13.024194185633213,10.197927818130387,1028.563231278053
127,137617,40571,100878,-18.10630128372357,-21.30137918726943,2.524,-22.084652879286377,11.618868917452101,-32.3541017492944,26.82223225289774,-1.4897860678612922,6.129527712778014,-0.6166756639426669,8.617058981733848,781.586901456805
128,137640,40575,100874,-14.086547263651632,-25.43732119389663,2.547,-21.55453750314133,11.358977939928211,-31.524260153666336,26.368709692447048,4.0197540200719395,-4.1359420066272,5.509540087933232,-10.265469719405214,845.488123332554
129,137663,40580,100870,-9.626099320217827,-29.311522067407264,2.57,-21.001404215923056,11.250310951943328,-30.967518566720265,26.10923871846318,4.460447943433804,-3.8742008735106346,0.44069392336186475,0.26174113311656555,951.8271140308011
130,137682,40572,100881,-17.757951657625384,-18.06660758125107,2.589,-20.63227577827643,11.041829639801316,-30.10291221703098,25.798318397620303,-8.131852337407556,11.244914486156194,-12.59230028084136,15.119115359666829,641.7471565694788
131,137693,40558,100883,-31.49978168070571,-16.06891665722432,2.6,-19.90494324853359,8.84649922623384,-29.02196461895348,25.213200338566487,-13.741830023080325,1.9976909240267489,-5.609977685672769,-9.247223562129445,1250.446328468944
132,137717,40571,100882,-18.545001182302894,-17.26575811848426,2.624,-19.794718580918996,8.828034690580067,-27.64079399419692,23.86562657137136,12.954780498402815,-1.1968414612599396,26.69661052148314,-3.1945323852866885,642.0234722576208
133,137738,40560,100892,-29.390703197309417,-7.136944302389249,2.645,-19.685832242408527,8.67091674996548,-25.68618010204479,21.272879617460294,-10.845702015006523,10.128813816095011,-23.80048251340934,11.32565527735495,914.7494084077404
134,137759,40573,100887,-16.088970796724748,-11.675915177991554,2.666,-19.599146725653917,8.685048118591059,-25.11849052109216,21.26019125237209,13.301732400584669,-4.538970875602304,24.147434415591192,-14.667784691697316,395.1819765415153
135,137780,40592,100876,1.9277544578704855,-22.713602571271714,2.687,-19.037388421043403,9.148050901906998,-24.301251203613916,20.524367553841746,18.016725254595233,-11.03768739328016,4.714992854010564,-6.498716517677856,519.6239790155206
